Commande,Maison,Heure,idMaisonReel,Weight
1,1,11:08:41,0,1.5
2,1,14:48:58,0,1.9
3,1,15:45:17,0,1.7
4,2,17:42:20,25,1.0
5,3,08:43:00,50,1.5
6,4,09:45:22,75,0.7
7,4,13:48:01,75,1.8
8,5,19:46:32,100,1.9
9,5,09:23:09,100,1.1
10,8,18:46:31,175,0.5
11,8,21:57:12,175,1.6
12,9,19:26:59,200,0.6
13,9,19:20:51,200,1.8
14,9,01:01:41,200,1.6
15,10,21:31:05,225,1.5
16,11,07:33:09,250,1.1
17,13,21:33:20,300,0.4
18,13,08:54:03,300,1.9
19,14,21:29:19,325,0.3
20,15,20:39:05,350,1.9
21,15,12:32:16,350,1.7
22,15,16:21:12,350,1.4
23,16,10:48:48,375,0.8
24,16,17:52:06,375,2.0
25,16,21:17:48,375,1.5
26,17,00:19:03,400,1.4
27,18,13:02:32,425,1.6
28,18,22:02:59,425,1.5
29,20,14:50:10,475,1.7
30,21,17:10:43,500,0.3
31,21,15:01:44,500,0.8
32,22,19:07:34,525,1.3
33,22,21:58:04,525,0.3
34,25,14:57:54,600,1.4
35,25,02:42:01,600,1.8
36,25,14:51:34,600,1.3
37,26,17:18:32,625,0.8
38,27,10:12:10,650,1.2
39,28,10:54:29,675,0.5
40,29,23:59:30,700,1.7
41,31,23:05:43,750,1.2
42,31,02:21:33,750,1.2
43,32,07:31:49,775,0.7
44,33,14:58:56,800,0.5
45,34,11:49:37,825,0.9
46,34,12:04:05,825,0.3
47,34,19:22:39,825,1.8
48,35,13:18:46,850,0.6
49,36,00:46:05,875,0.3
50,36,14:18:39,875,1.2
51,36,20:36:43,875,1.2
52,37,11:25:17,900,1.8
53,37,14:55:17,900,1.9
54,39,01:59:12,950,1.7
55,39,18:09:28,950,0.6
56,40,16:50:30,975,1.3
57,40,09:47:57,975,1.2
58,40,04:19:57,975,0.8
59,41,14:54:06,1000,1.9
60,41,22:31:42,1000,1.2
61,42,14:50:03,1025,0.8
62,44,10:28:50,1075,1.1
63,44,20:49:21,1075,0.4
64,45,19:36:29,1100,1.9
65,45,15:53:00,1100,0.4
66,48,19:14:21,1175,1.7
67,48,19:36:56,1175,1.3
68,48,21:54:30,1175,2.0
69,49,11:07:06,1200,0.9
70,50,17:04:06,1225,1.9
71,52,17:35:53,1275,1.4
72,52,18:20:21,1275,0.6
73,52,10:34:58,1275,1.5
74,53,11:09:23,1300,1.5
75,53,18:06:55,1300,0.7
76,53,18:18:38,1300,0.9
77,57,06:56:40,1400,1.5
78,58,21:34:11,1425,1.5
79,58,07:46:01,1425,1.2
80,59,19:47:43,1450,1.1
81,59,09:00:34,1450,1.2
82,60,12:17:19,1475,0.7
83,60,09:33:26,1475,0.1
84,60,21:50:48,1475,1.1
85,61,18:33:19,1500,1.8
86,62,13:35:50,1525,0.8
87,64,19:03:46,1575,1.2
88,65,13:48:37,1600,1.5
89,65,18:25:13,1600,0.2
90,65,20:43:44,1600,0.5
91,66,15:23:15,1625,1.4
92,68,13:34:12,1675,0.4
93,69,11:46:34,1700,0.8
94,70,21:35:16,1725,0.9
95,70,10:52:28,1725,1.0
96,70,13:03:56,1725,1.8
97,72,10:32:12,1775,1.9
98,73,19:22:54,1800,0.7
99,74,20:49:45,1825,1.7
100,74,02:29:41,1825,1.6
101,74,07:10:52,1825,1.3
102,75,16:32:07,1850,0.9
103,75,14:41:15,1850,1.9
104,77,23:46:20,1900,0.2
105,78,10:51:50,1925,0.3
106,78,21:33:31,1925,1.1
107,79,20:12:43,1950,1.6
108,79,17:23:49,1950,1.6
109,79,13:37:21,1950,0.8
110,80,21:05:16,1975,0.7
111,80,19:48:47,1975,1.0
112,80,22:31:55,1975,0.6
113,83,10:45:59,2050,1.1
114,83,08:16:19,2050,0.3
115,83,22:22:11,2050,0.4
116,84,12:49:34,2075,0.8
117,84,21:32:51,2075,0.8
118,85,18:26:03,2100,1.8
119,85,08:17:45,2100,1.8
120,86,12:00:38,2125,0.3
121,86,08:53:12,2125,1.7
122,87,09:21:30,2150,0.7
123,87,19:08:29,2150,1.5
124,88,11:14:53,2175,1.0
125,88,07:49:17,2175,1.6
126,88,17:19:52,2175,0.3
127,89,13:39:20,2200,0.9
128,89,14:44:37,2200,1.9
129,89,20:49:57,2200,0.7
130,90,11:33:43,2225,1.4
131,90,09:19:27,2225,0.9
132,90,22:24:19,2225,1.5
133,91,16:03:57,2250,1.4
134,91,13:25:56,2250,2.0
135,91,14:12:38,2250,0.3
136,92,18:26:34,2275,0.3
137,92,19:06:05,2275,2.0
138,93,18:49:52,2300,1.9
139,93,09:37:47,2300,1.7
140,93,14:04:39,2300,0.5
141,94,18:40:39,2325,1.9
142,96,14:59:06,2375,1.6
143,96,10:10:18,2375,1.6
144,96,19:09:55,2375,1.7
145,97,18:46:07,2400,0.9
146,97,18:27:39,2400,1.9
147,98,22:29:48,2425,1.4
148,98,09:28:04,2425,1.4
149,98,10:37:51,2425,0.2
150,99,19:38:59,2450,1.6
151,100,13:33:43,2475,1.5
152,100,16:59:15,2475,1.6
153,101,19:00:24,2500,0.8
154,102,17:57:36,2525,0.4
