Commande,Heure,idMaison,Weight
0,18:26:17,1702,40
1,18:14:59,1324,14
2,18:00:41,914,91
3,21:11:36,1468,70
4,16:28:20,433,87
5,20:56:20,890,67
6,11:42:26,1710,68
7,21:30:41,1700,75
8,16:36:04,1008,94
9,20:05:39,2359,99
10,19:02:50,1476,74
11,20:36:28,912,11
12,09:43:35,995,28
13,16:41:16,1728,63
14,07:32:33,1845,16
15,09:52:20,163,26
16,13:24:04,108,89
17,10:55:46,715,82
18,22:33:19,814,25
19,17:47:14,1938,80
20,11:06:33,530,15
21,19:40:42,2106,88
22,20:16:38,783,42
23,20:53:23,2139,55
24,13:11:36,2079,94
25,08:29:28,997,73
26,08:26:40,932,29
27,18:07:28,2000,46
28,18:02:54,756,96
29,12:57:27,155,74
30,10:09:37,628,60
31,09:52:49,2066,35
32,17:09:46,1686,56
33,17:33:23,2077,62
34,13:01:52,1207,54
35,20:26:38,1232,66
36,13:16:28,1958,45
37,16:01:27,1707,78
38,20:55:36,1232,80
39,18:18:20,383,25
40,06:43:54,1811,59
41,22:56:24,35,24
42,23:36:03,975,46
43,13:58:38,2153,10
44,08:03:46,1636,42
45,23:44:57,2208,37
46,22:40:33,414,43
47,15:58:45,2089,18
48,17:08:51,332,18
49,18:40:10,970,88
50,09:45:34,1289,39
51,12:40:52,1686,14
52,17:07:38,760,92
53,21:17:43,710,30
54,08:48:44,1403,16
55,14:52:02,1777,87
56,21:58:51,2164,49
57,09:26:45,1414,56
58,14:55:22,205,33
59,18:11:58,850,65
60,11:13:20,942,76
61,10:45:26,1079,66
62,23:41:53,1176,23
63,18:52:08,2095,36
64,18:40:08,2190,82
65,17:40:35,2085,82
66,17:52:36,1660,16
67,07:29:23,547,91
68,16:04:03,2025,40
69,14:15:17,1125,52
70,18:09:07,1087,70
71,16:42:30,698,19
72,20:54:57,635,93
73,09:08:56,652,28
74,19:16:22,2544,54
75,16:46:00,2436,69
76,09:51:34,1795,74
77,18:06:21,1028,98
78,13:25:10,410,75
79,10:23:26,1303,70
80,23:18:35,1885,61
81,21:21:11,2490,55
82,17:30:53,642,72
83,09:31:34,1720,37
84,10:51:09,1276,80
85,13:41:09,2067,71
86,10:06:26,2154,84
87,22:25:47,908,42
88,00:14:34,76,48
89,10:21:00,2291,20
90,22:29:34,627,62
91,10:58:23,1085,39
92,10:02:11,392,73
93,21:54:37,1121,33
94,08:15:17,1582,78
95,10:58:37,905,19
96,15:36:40,1781,41
97,14:39:28,2019,20
98,18:08:51,1494,27
99,22:19:07,1216,64
100,22:08:40,2427,66
101,14:42:12,1907,66
102,14:56:28,684,62
103,18:26:22,448,95
104,08:55:27,2238,16
105,09:50:01,2189,64
106,08:51:50,2044,43
107,12:40:49,2270,70
108,13:15:21,155,12
109,18:19:44,1816,63
110,20:37:44,1196,93
111,16:30:07,1660,11
112,09:11:09,312,13
113,15:06:45,1917,10
114,15:32:19,639,22
115,11:16:54,1218,58
116,17:05:53,2457,11
117,17:03:12,995,21
118,16:11:48,2226,27
119,10:30:38,1272,64
120,13:53:59,2072,18
121,20:29:53,1003,59
122,21:35:32,1516,29
123,16:54:13,2421,34
124,13:01:01,1717,25
125,23:22:14,1584,87
126,16:33:30,147,22
127,16:37:04,347,70
128,11:13:54,880,12
129,19:14:56,258,66
130,08:46:54,147,90
131,16:40:29,292,26
132,12:20:26,1549,55
133,20:59:06,1568,78
134,16:32:29,1562,68
135,21:11:56,864,10
136,19:21:25,1795,51
137,11:28:21,2390,21
138,18:57:51,1866,12
139,14:06:09,1254,29
140,14:35:45,2527,15
141,16:03:39,2091,39
142,14:42:11,1692,49
143,19:27:41,454,70
144,11:50:13,670,57
145,10:25:12,1390,54
146,18:33:45,936,70
147,13:44:10,131,49
148,16:44:12,969,31
149,21:50:32,1107,59
150,11:10:30,630,56
151,22:37:52,1446,63
152,21:17:52,1864,36
153,08:00:53,1361,35
154,15:53:06,1696,67
155,12:21:02,998,63
156,19:30:49,470,41
157,19:04:59,1168,75
158,19:40:34,175,34
159,12:52:45,813,71
160,18:10:41,1857,39
161,18:12:10,2331,77
162,15:28:24,123,35
163,14:05:06,2454,90
164,12:50:55,1758,91
165,06:30:29,966,85
166,08:17:24,652,69
167,16:03:46,1535,40
168,12:29:38,2021,63
169,12:16:06,880,58
170,11:58:47,411,96
171,16:49:30,1542,81
172,12:33:36,465,71
173,06:00:35,770,75
174,19:01:20,335,65
175,12:00:44,1509,71
176,17:18:44,682,47
177,14:49:28,2054,57
178,20:01:39,842,37
179,16:17:12,2517,54
180,19:48:07,92,10
181,23:43:06,2265,13
182,23:32:01,407,96
183,12:04:58,851,60
184,13:49:38,2086,39
185,21:17:45,986,46
186,22:38:59,1893,28
187,07:44:31,1599,72
188,15:32:34,1855,67
189,23:56:13,2547,45
190,18:36:18,1519,61
191,11:35:26,344,12
192,17:51:37,238,61
193,15:34:49,2358,36
194,18:53:45,157,64
195,19:21:53,56,69
196,07:49:20,1290,79
197,15:17:23,2124,32
198,22:09:18,1492,78
199,20:57:18,1496,56
200,15:32:30,1067,72
201,22:51:50,226,69
202,10:39:42,182,68
203,12:51:48,2383,90
204,22:06:47,2263,89
205,12:03:55,2285,93
206,10:36:05,1520,15
207,17:29:16,1974,29
208,20:36:28,769,35
209,06:58:40,2491,24
210,13:38:03,547,55
211,19:51:17,826,40
212,19:09:14,659,25
213,22:16:56,1122,99
214,16:17:48,1802,11
215,10:36:19,1135,50
216,13:04:30,399,63
217,15:14:49,984,41
218,13:50:57,1417,65
219,09:35:39,1382,57
220,19:16:01,1616,83
221,18:52:05,1029,68
222,15:25:36,939,16
223,16:28:35,1893,57
224,09:44:30,117,72
225,20:23:33,572,37
226,17:12:00,2317,66
227,09:02:56,472,71
228,13:45:36,542,93
229,13:58:23,2543,19
230,09:50:25,741,98
231,21:19:25,1942,12
232,08:20:53,445,24
233,10:52:51,589,44
234,17:17:42,2014,50
235,20:34:57,374,37
236,19:42:10,806,35
237,09:13:31,1968,48
238,20:52:49,2044,14
239,17:48:22,2482,13
240,14:52:22,1750,32
241,15:38:42,1762,51
242,01:04:18,1332,65
243,23:06:19,1707,24
244,18:22:53,987,85
245,08:18:40,571,11
246,19:26:06,154,94
247,22:10:08,415,29
248,22:17:22,156,87
249,19:36:39,2344,52
250,21:07:08,2403,87
251,19:30:07,2084,53
252,15:56:16,1496,36
253,19:34:01,1681,78
254,18:30:27,323,35
255,11:43:55,2312,58
256,11:02:42,351,85
257,18:35:17,458,61
258,09:27:18,1151,72
259,12:42:06,2306,40
260,08:08:13,138,47
261,07:32:40,1865,53
262,11:05:47,2355,90
263,16:56:34,1803,76
264,12:43:40,285,38
265,17:15:37,192,48
266,17:10:41,2530,90
267,12:04:58,841,100
268,11:42:09,1470,32
269,14:45:49,489,85
270,00:03:16,1541,28
271,16:08:13,2071,28
272,18:06:36,1208,55
273,13:53:03,1816,97
274,22:22:52,1733,92
275,17:27:32,1286,87
276,22:00:07,1373,28
277,19:45:50,93,41
278,12:59:57,1700,68
279,21:39:00,10,30
