Maison,X,Y
0,2459585.730814444,3984436.983484476
1,2459599.948431494,3984658.868017377
2,2459570.114416982,3984760.76513549
3,2459427.964746419,3984719.0962372837
4,2459430.0672668796,3984783.103779106
5,2459527.689261349,3984755.6272684466
6,2459424.059792156,3984780.0665168003
7,2459542.7617364004,3984627.1743303044
8,2459430.534525444,3984683.7184103183
9,2459523.1587356087,3984661.608006797
10,2459468.326180281,3984946.877509755
11,2459420.4762042514,3984840.1077807774
12,2459519.1944055515,3984852.4858068274
13,2459513.9498564485,3984834.5250915787
14,2459492.554144246,3985043.747842163
15,2459460.482955041,3985064.376705749
16,2459486.13794199,3985133.810139445
17,2459576.4454975366,3985022.3397751106
18,2459591.6388250003,3985127.881423436
19,2459537.6907431516,3985190.4468571586
20,2459514.3963960283,3985006.3873475664
21,2459537.1894962634,3985198.100260501
22,2459555.2727700546,3985161.3389696265
23,2459423.5461129844,3985176.6659743516
24,2459443.0351651683,3985327.0125595997
25,2459409.6747387657,3985394.32718258
26,2459564.4894874394,3985396.0016781
27,2459408.8886362663,3985257.605553371
28,2459445.3787126825,3985236.0076200264
29,2459531.7864144696,3985311.639554586
30,2459570.4089665883,3985345.273957139
31,2459560.765695048,3985361.0954338727
32,2459558.2953742873,3985312.982587994
33,2459525.3713027756,3985364.6623783773
34,2459475.5874608443,3985562.0717785186
35,2459540.653750046,3985412.0473006256
36,2459411.15352194,3985446.614562405
37,2459439.058900502,3985552.553641842
38,2459544.4849663833,3985477.6194610028
39,2459422.7630814863,3985555.060022289
40,2459422.907628698,3985587.2726299395
41,2459418.2821313557,3985533.740228253
42,2459552.185229259,3985524.1418398255
43,2459528.6793340496,3985418.8361262106
44,2459605.542130642,3983314.0433847867
45,2459727.6074629556,3983225.483728606
46,2459737.132726194,3983353.1664592903
47,2459640.292706721,3983394.0013805362
48,2459700.4569773306,3983212.740002349
49,2459623.318146323,3983382.3609733945
50,2459735.3971209233,3983221.4985185205
51,2459643.2314986954,3983259.6281506694
52,2459723.188553608,3983207.939044578
53,2459703.967827983,3983231.439578762
54,2459621.1943566334,3983799.5955315167
55,2459780.1766752475,3983648.4142635805
56,2459733.48439168,3983866.45547103
57,2459636.1041849246,3983952.3327330477
58,2459691.2379256454,3983969.6071948376
59,2459702.0196628463,3983852.7245229017
60,2459618.196158206,3983896.579649533
61,2459649.265395188,3983925.641889615
62,2459726.991851744,3984065.970436983
63,2459620.1431254875,3984087.9509519185
64,2459603.526275396,3984079.3747555823
65,2459753.9986913796,3984097.897998103
66,2459756.896351207,3984011.8644325556
67,2459637.6173813595,3984317.2576848646
68,2459765.2793485043,3984272.1080444185
69,2459787.0349868755,3984281.2346830866
70,2459754.0539315,3984380.9055616613
71,2459678.6708813556,3984357.2741781347
72,2459638.3919739616,3984366.0112520796
73,2459797.565333003,3984288.8931414313
74,2459634.684479323,3984516.930132015
75,2459727.9391524727,3984532.635427164
76,2459612.9920781776,3984582.604608767
77,2459708.1085332907,3984523.2779074023
78,2459751.288392207,3984490.1888602157
79,2459624.034505115,3984572.9520588364
80,2459657.453094362,3984402.8685634714
81,2459621.2888441407,3984437.6718170256
82,2459763.3661047374,3984402.5498829046
83,2459686.776710562,3984776.397573084
84,2459627.2833660087,3984811.305906111
85,2459796.7769357427,3984821.3738348885
86,2459661.341602094,3984816.976896844
87,2459663.203994459,3984855.4575312585
88,2459651.3429471706,3984906.0433081025
89,2459641.2407212486,3985197.4338956787
90,2459778.57988146,3985137.5968120284
91,2459650.9013748793,3985122.902814176
92,2459780.43957204,3985129.5324107283
93,2459789.5410601837,3985168.751526634
94,2459658.4131062175,3985026.724706343
95,2459679.08685763,3985158.2373754764
96,2459626.1020774287,3985060.89554388
97,2459733.784051644,3985180.5386645207
98,2459651.986342041,3985195.1010930543
99,2459609.750241388,3985149.4625584628
100,2459777.3897953196,3985001.256421551
101,2459762.202447157,3985069.6691772523
102,2459638.5919201034,3985186.5618356518
103,2459613.416132494,3985172.917991029
104,2459678.6623709006,3985103.2275766684
105,2459614.34010516,3985126.2806083644
106,2459604.971076073,3985017.007612624
107,2459638.1451236857,3985029.0184919136
108,2459681.2773462594,3985089.791294942
109,2459770.509112641,3985185.3038652623
110,2459761.6994564636,3985142.2623520414
111,2459618.0462462013,3985053.0936229425
112,2459655.5233656466,3985135.3388869
113,2459651.018671222,3985142.662395565
114,2459659.291657906,3985098.528023057
115,2459779.6578985476,3985110.214349108
116,2459650.02832181,3985122.080002083
117,2459757.052985956,3985163.892201653
118,2459749.0448256503,3985134.9476502156
119,2459784.289908981,3985103.2997421236
120,2459741.775445032,3985400.054452762
121,2459746.8685035952,3985457.491413858
122,2459679.0318061183,3985527.5289020054
123,2459617.027110526,3985595.4385499386
124,2459609.8226085682,3985558.843909478
125,2459778.632736288,3985583.645355987
126,2459668.279347452,3985587.099823484
127,2459664.1100989995,3985555.348688546
128,2459645.994583185,3985549.172346629
129,2459644.946215749,3985529.3245578767
130,2459727.6072798623,3985422.1136191655
131,2459789.095584624,3985595.6399127254
132,2459632.2136200787,3985583.201240554
133,2459707.5976729277,3985455.2130915867
134,2459656.1061444674,3985419.7241258617
135,2459836.800146902,3983267.387004839
136,2459920.1240846287,3983207.163566604
137,2459930.7078437046,3983204.8864891552
138,2459978.187811053,3983203.254457122
139,2459920.512009776,3983392.3789049457
140,2459844.568933297,3983335.33642305
141,2459981.081271811,3983431.4661959726
142,2459894.2311886586,3983488.6520203887
143,2459841.017694491,3983470.3733832645
144,2459930.9182048384,3983477.459181502
145,2459875.4695582353,3983476.0819315217
146,2459891.5961313676,3983450.1001177705
147,2459975.813238996,3984046.023814889
148,2459816.9638551464,3984122.481768676
149,2459813.0271922243,3984065.589543683
150,2459864.742183425,3984270.297455554
151,2459932.453995859,3984393.142720794
152,2459981.858537473,3984381.7209098716
153,2459862.9589195084,3984291.4883662965
154,2459800.96612199,3984396.9171866756
155,2459879.1003526663,3984279.711235983
156,2459889.720015272,3984325.6498940494
157,2459966.3348739697,3984237.024016202
158,2459870.2502774964,3984346.8181168186
159,2459837.8405866357,3984244.456128618
160,2459856.201139164,3984322.176181968
161,2459946.184468468,3984437.085317953
162,2459858.9132479504,3984440.4004773195
163,2459898.4611148075,3984528.932761305
164,2459961.3196980744,3984418.2712744493
165,2459834.6648391285,3984554.8440729
166,2459907.131667223,3984582.989364553
167,2459852.9825620926,3984520.51317018
168,2459894.7845642576,3984429.7756198705
169,2459925.437360292,3984405.5334130134
170,2459994.466567704,3984591.5370670357
171,2459925.0864507523,3984466.7293105917
172,2459838.779123152,3984517.1999662495
173,2459917.9873513044,3984560.7114572544
174,2459830.6238983334,3984586.3597728764
175,2459905.1798532517,3984711.1128152404
176,2459819.0200273455,3984642.6106346776
177,2459832.881410736,3984741.1386645758
178,2459929.443155396,3984793.779942057
179,2459851.1271448294,3984773.359134875
180,2459831.255582927,3984724.2848307537
181,2459920.4678960275,3984626.1037860382
182,2459849.6332660345,3984726.6383949094
183,2459926.8953113956,3984710.851352827
184,2459988.3190188995,3984959.2946108505
185,2459953.9004553403,3984853.6974351304
186,2459980.6422571004,3985171.855582711
187,2459915.4975975007,3985163.1118141697
188,2459930.327112966,3985153.8180346936
189,2460085.1396446903,3984071.0360527677
190,2460182.7926631207,3984022.790009334
191,2460076.2659041076,3984114.061409937
192,2460034.2129241484,3984042.6190513247
193,2460065.3129683724,3984374.6326459735
194,2460149.559464137,3984399.6116000237
195,2460106.2772801607,3984215.6689619743
196,2460046.6693784166,3984230.9883339386
197,2460081.258921869,3984295.000433932
198,2460067.5864445707,3984300.6436138027
199,2460042.86271506,3984313.0973502663
200,2460122.2750730976,3984359.1964927968
201,2460031.772303262,3984397.9280448426
202,2460058.2680339804,3984208.275111281
203,2460088.4812285807,3984269.2912427634
204,2460028.6537912604,3984494.122067458
205,2460076.092824499,3984578.627455801
206,2460153.2682385542,3984437.982237749
207,2460158.1271956447,3984412.127070481
208,2460066.1128950366,3984588.3747457904
209,2460028.261829759,3984453.1487639197
210,2460156.1637019753,3984520.371395742
211,2460134.2404579325,3984559.288508858
212,2460177.1155021265,3984498.2969194674
213,2460113.8947638664,3984594.133336557
214,2460176.050878236,3984571.5818656203
215,2460091.3486927003,3984541.350409554
216,2460190.1391825466,3984410.8952364824
217,2460005.817200918,3984443.6725070043
218,2460005.6004931633,3984546.67060896
219,2460168.368659985,3984537.7923396435
220,2460175.278533791,3984576.947225312
221,2460156.38307714,3984422.4787383904
222,2460177.173198194,3984623.5555188796
223,2460111.457815454,3984639.787637602
224,2460127.8061817833,3984741.74652795
225,2460157.0581678385,3984750.2927419306
226,2460157.653524368,3984740.17165754
227,2460091.471086509,3984741.7169755
228,2460189.6478695455,3984647.924055065
229,2460114.6089969976,3984776.6015700162
230,2460057.1812858693,3984749.337293254
231,2460180.85220092,3984664.8809903623
232,2460104.241452332,3984746.448799171
233,2460196.3846851643,3984662.172462064
234,2460120.198849928,3984774.0830409667
235,2460126.8607847323,3984788.635009871
236,2460094.8409418752,3984713.3323321915
237,2460131.85159756,3984698.8805188276
