Commande,Heure,idMaison
12634,21:40:42,2063
12635,21:05:56,968
12636,21:21:26,2208
12637,21:38:53,2050
12638,12:03:05,1373
12639,08:22:15,2171
12640,10:31:02,1803
12641,20:34:51,2349
12642,13:17:30,2013
12643,11:58:10,2179
12644,13:56:53,1050
12645,07:09:34,2418
12646,00:56:15,310
12647,19:40:59,1978
12648,02:42:10,544
12649,21:20:57,2274
12650,13:14:38,2439
12651,14:03:04,1383
12652,02:07:13,2404
12653,11:05:45,2484
12654,14:22:34,1962
12655,21:35:27,273
12656,19:22:48,985
12657,21:01:49,2306
12658,10:34:53,1222
12659,15:08:33,2559
12660,19:45:14,1262
12661,11:07:59,1680
12662,17:25:40,1065
12663,14:16:55,1659
12664,19:48:43,161
12665,18:44:43,2244
12666,19:56:10,456
12667,10:28:02,1682
12668,21:38:47,1148
12669,08:10:41,1310
12670,09:15:44,517
12671,16:23:08,1899
12672,17:09:29,985
12673,20:10:45,1166
12674,18:04:48,2256
12675,00:19:11,2305
12676,12:12:19,1666
12677,14:56:37,262
12678,10:19:21,271
12679,07:13:37,2565
12680,18:18:07,2118
12681,18:48:03,2413
12682,17:43:45,1626
12683,19:44:34,704
12684,21:06:14,699
12685,11:09:33,2081
12686,17:47:46,1683
12687,14:58:59,1719
12688,13:19:23,1893
12689,14:48:10,808
12690,10:41:34,2127
12691,21:50:32,1086
12692,18:40:22,1244
12693,13:16:46,118
12694,18:48:28,240
12695,12:08:22,121
12696,08:38:20,1046
12697,10:30:53,2247
12698,12:02:24,1837
12699,02:00:48,1297
12700,18:56:18,1967
12701,21:38:40,1517
12702,06:10:45,1596
12703,15:53:09,1366
12704,12:20:25,2213
12705,22:09:22,1980
12706,12:46:54,1800
12707,17:22:26,1020
12708,21:45:20,1712
12709,09:43:17,2473
12710,08:12:32,1415
12711,14:12:30,2068
12712,08:27:48,1041
12713,09:13:20,889
12714,17:52:04,1422
12715,13:51:27,2015
12716,09:04:08,162
12717,10:28:56,1075
12718,18:03:08,1765
12719,10:44:11,345
12720,10:56:55,1863
12721,10:43:42,614
12722,21:08:44,819
12723,19:41:47,510
12724,21:46:58,346
12725,23:13:16,1339
12726,12:30:12,777
12727,11:26:17,35
12728,19:22:55,1788
12729,13:26:20,704
12730,21:10:26,421
12731,14:52:54,1310
12732,07:54:26,2410
12733,15:50:42,320
12734,15:45:29,185
12735,21:13:45,1093
12736,17:54:39,2054
12737,09:27:37,2103
12738,20:25:13,217
12739,18:15:52,1499
12740,13:22:43,36
12741,11:29:55,2008
12742,18:15:39,1699
12743,22:05:01,1322
12744,17:42:49,2405
12745,18:32:03,1521
12746,21:23:27,124
12747,17:33:31,1141
12748,13:21:19,606
12749,11:10:52,645
12750,22:52:06,306
12751,12:36:50,568
12752,08:54:49,297
12753,13:12:26,471
12754,22:55:37,1326
12755,09:16:59,2018
12756,23:49:41,1402
12757,10:52:02,1152
12758,16:07:02,2026
12759,06:56:48,891
12760,10:46:20,1371
12761,15:26:27,1778
12762,14:04:11,916
12763,22:59:22,485
12764,21:47:45,448
12765,09:59:40,1768
12766,14:51:46,531
12767,17:19:50,2416
12768,20:56:46,84
12769,17:37:29,1725
12770,16:34:05,178
12771,08:55:22,2059
12772,19:56:10,2091
12773,11:11:40,1295
12774,10:25:16,509
