Commande,Heure,idMaison,Weight
12634,16:18:50,2047,93
12635,12:54:43,1335,70
12636,23:12:32,1711,14
12637,11:21:47,1805,56
12638,00:40:33,426,28
12639,02:14:52,76,37
12640,18:11:02,2123,89
12641,15:18:27,766,60
12642,10:45:06,1777,99
12643,22:18:01,1225,76
12644,10:46:11,1389,19
12645,11:40:36,279,42
12646,10:39:48,1683,12
12647,12:16:16,2102,77
12648,07:20:16,856,12
12649,22:01:00,1786,49
12650,22:09:11,1369,57
12651,17:59:34,1993,20
12652,22:25:21,417,65
12653,13:19:30,749,77
12654,14:05:33,360,71
12655,11:56:29,1339,11
12656,08:08:00,745,12
12657,16:20:23,912,13
12658,22:45:44,357,40
12659,11:47:11,2401,99
12660,12:28:07,1839,12
12661,23:08:39,213,71
12662,19:20:59,171,20
12663,18:00:20,1128,98
12664,13:48:47,1838,32
12665,15:50:32,2008,69
12666,20:22:35,1213,36
12667,19:40:43,1301,89
12668,16:26:07,1730,32
12669,21:26:08,1633,81
12670,12:58:33,436,81
12671,11:46:19,549,89
12672,11:04:59,575,91
12673,14:17:32,2069,13
12674,21:44:16,515,28
12675,10:51:24,1232,73
12676,07:19:16,2520,67
12677,09:20:23,83,23
12678,08:33:05,974,50
12679,13:46:18,1165,66
12680,16:08:21,643,36
12681,07:36:41,1430,69
12682,09:12:51,1071,52
12683,09:12:17,637,56
12684,23:42:34,1824,63
12685,14:40:24,127,64
12686,20:10:55,1483,98
12687,21:51:23,1386,13
12688,10:23:21,283,33
12689,10:36:37,607,70
12690,13:56:15,1273,40
12691,17:24:58,272,42
12692,10:13:02,634,67
12693,08:50:14,1231,58
12694,20:54:41,955,95
12695,16:36:21,1046,23
12696,17:29:37,669,47
12697,14:31:02,190,38
12698,23:43:35,937,12
12699,10:28:48,404,69
12700,12:47:40,180,56
12701,09:10:25,92,93
12702,23:21:27,1431,33
12703,08:56:44,902,65
12704,00:59:19,163,53
12705,17:37:40,1383,89
12706,13:40:00,218,82
12707,21:07:41,1064,11
12708,11:19:16,1503,93
12709,18:08:06,1478,59
12710,18:58:08,1979,40
12711,06:19:51,2052,40
12712,21:34:42,1920,44
12713,17:08:33,695,48
12714,22:39:08,1440,34
12715,09:08:55,869,85
12716,18:10:08,1636,71
12717,10:56:13,530,60
12718,21:35:00,1705,92
12719,16:17:44,2173,63
12720,16:44:05,1501,75
12721,20:02:51,66,48
12722,09:24:46,489,63
12723,11:45:46,1892,13
12724,13:18:32,215,83
12725,15:04:00,1945,35
12726,19:35:30,1039,39
12727,16:45:43,1048,98
12728,12:37:44,2543,62
12729,13:45:11,791,59
12730,10:29:32,870,70
12731,21:51:35,2195,20
12732,17:11:25,1282,42
12733,22:36:46,1160,58
12734,10:37:05,1127,61
12735,13:29:17,416,35
12736,10:10:02,872,57
12737,08:19:09,1341,97
12738,15:36:55,2076,69
12739,09:24:58,1729,53
12740,20:05:50,1197,79
12741,17:22:17,1453,42
12742,14:16:35,2409,30
12743,17:10:55,1119,78
12744,16:40:48,882,54
12745,11:51:43,848,56
12746,07:58:41,571,40
12747,16:36:24,2340,73
12748,14:15:51,2005,100
12749,13:50:26,367,74
12750,15:13:18,1289,78
12751,09:16:41,1075,71
12752,10:02:05,363,22
12753,13:57:56,2160,68
12754,10:54:10,989,75
12755,15:29:27,267,76
12756,15:01:43,2066,80
12757,09:37:40,976,34
12758,14:47:12,1897,76
12759,17:18:36,2061,85
12760,15:33:55,1982,97
12761,07:15:20,1427,29
12762,18:08:28,100,14
12763,21:23:57,1279,85
12764,12:14:42,480,94
12765,19:20:36,612,12
12766,18:07:48,1626,80
12767,18:11:14,2278,84
12768,19:31:37,289,86
12769,11:50:06,1367,65
12770,12:57:12,1061,66
12771,20:35:43,1875,82
12772,13:30:47,1257,73
12773,21:03:46,1546,92
12774,10:01:43,2317,46
12775,21:44:50,506,57
12776,07:35:12,840,67
12777,18:28:06,1309,44
12778,09:58:59,1197,32
12779,14:53:03,233,32
12780,20:03:04,1061,16
12781,21:56:20,240,41
12782,13:00:33,2173,23
12783,13:14:21,921,21
12784,12:36:57,523,34
12785,20:57:06,1446,97
12786,13:17:07,594,32
12787,20:21:28,1054,40
12788,18:53:06,1812,87
12789,12:04:00,822,44
12790,13:35:39,2070,65
12791,21:27:49,714,24
12792,15:30:58,1720,20
12793,21:02:52,1393,92
12794,21:02:28,235,12
12795,17:22:11,1729,20
12796,20:30:08,828,71
12797,15:40:55,409,25
12798,23:19:42,2430,73
12799,19:28:43,2169,11
12800,00:49:20,290,92
12801,11:08:29,851,77
12802,09:40:45,562,22
12803,08:52:23,317,51
12804,20:04:23,1207,31
12805,10:07:47,568,97
12806,10:08:06,2516,80
12807,10:03:43,1326,20
12808,21:50:04,1639,46
12809,07:25:30,482,74
12810,13:56:22,1397,34
12811,18:57:35,2339,33
12812,19:18:01,2174,52
12813,11:27:46,1481,67
12814,12:57:39,2565,65
12815,09:16:49,1613,14
12816,06:24:38,1484,27
12817,11:43:44,1319,43
12818,09:38:56,2401,61
12819,13:44:44,1010,45
12820,14:01:35,2342,64
12821,16:47:41,480,89
12822,18:10:24,1667,78
12823,17:54:40,818,79
12824,16:58:46,2128,54
12825,21:25:52,336,71
12826,20:27:58,2010,40
12827,15:12:49,908,80
12828,12:26:10,306,23
12829,14:05:31,1058,86
12830,09:07:16,831,94
12831,01:11:55,1973,76
12832,21:24:22,1058,39
12833,22:37:26,1960,10
12834,12:02:44,761,51
12835,17:59:51,2177,99
12836,15:49:21,1505,97
12837,22:17:35,22,22
12838,15:13:27,853,67
12839,16:36:41,279,36
12840,11:49:46,1553,54
12841,15:03:26,11,33
12842,22:56:13,233,97
12843,23:04:45,2507,28
12844,17:29:18,801,28
12845,11:07:09,1006,19
12846,16:08:07,2393,92
12847,19:46:27,2537,89
12848,18:32:05,2012,45
12849,20:00:43,1028,38
12850,18:16:51,2087,77
12851,00:33:11,1463,20
12852,10:07:21,1084,98
12853,12:03:41,1379,76
12854,21:04:59,2532,81
12855,01:45:05,643,63
12856,17:18:30,308,81
12857,14:46:43,102,25
12858,17:35:51,1632,20
12859,11:05:02,1132,39
12860,23:01:53,2471,17
12861,20:30:34,2425,16
12862,16:00:02,1377,58
12863,22:06:51,609,67
12864,19:53:32,2556,55
12865,10:56:02,1787,72
12866,19:45:01,1424,35
12867,21:09:37,2022,52
12868,21:00:25,2504,47
12869,18:01:10,1886,63
12870,20:24:39,1284,56
12871,14:33:51,67,20
12872,15:22:21,1980,22
12873,08:22:59,2399,93
12874,11:14:18,1809,41
12875,09:50:45,987,67
12876,22:45:59,49,93
12877,20:23:32,933,67
12878,23:32:48,594,15
12879,19:52:26,509,33
12880,19:22:04,1504,16
12881,18:12:04,1737,80
12882,21:37:20,918,47
12883,12:05:51,703,88
12884,19:37:47,2049,47
12885,16:45:22,444,24
12886,16:52:40,1159,69
12887,19:45:55,319,86
12888,17:58:07,201,26
12889,09:57:07,1305,31
12890,21:19:54,512,62
12891,20:46:00,938,14
12892,11:05:58,793,72
12893,19:22:11,2054,54
12894,12:00:33,1393,27
12895,21:46:12,2116,39
12896,11:37:50,1734,64
12897,09:36:49,401,91
12898,20:55:55,412,86
12899,22:05:48,185,50
12900,18:37:14,1607,19
12901,23:11:21,1730,43
12902,21:11:23,1816,71
12903,10:17:05,1492,81
12904,11:44:11,353,34
12905,22:36:37,15,10
12906,12:10:32,782,100
12907,17:37:58,1039,62
12908,17:26:04,2236,12
12909,20:41:27,1923,25
12910,13:25:33,1412,16
12911,00:06:26,1362,63
12912,11:12:36,1338,52
12913,13:28:21,751,79
12914,16:22:55,2400,76
12915,16:25:53,978,81
12916,10:44:42,710,88
12917,18:33:56,1728,23
12918,09:33:30,2341,44
12919,10:00:26,815,27
12920,23:03:15,2179,27
12921,19:43:19,1606,10
12922,20:51:14,1868,34
12923,15:23:09,2481,20
12924,16:22:52,162,38
12925,10:41:17,2450,25
12926,14:26:49,1240,69
12927,14:38:55,2217,81
12928,13:27:56,2126,61
12929,18:57:13,1898,80
12930,18:10:15,1093,62
12931,13:43:08,1331,58
12932,11:59:32,91,99
12933,12:58:05,967,67
12934,17:47:33,1219,47
12935,16:16:05,255,89
12936,10:25:54,1495,96
12937,14:31:19,161,38
12938,09:20:55,139,38
12939,16:51:35,253,78
12940,21:33:12,1922,48
12941,16:45:06,1365,49
12942,08:29:37,227,15
12943,21:01:19,855,80
12944,18:37:20,195,48
12945,12:22:37,2309,21
12946,22:10:11,1679,94
12947,14:23:54,2218,61
12948,21:01:26,2243,13
12949,23:19:43,1975,78
12950,15:51:18,2513,99
12951,21:37:38,2542,11
12952,12:27:50,1057,43
12953,21:47:46,740,52
12954,03:59:44,1961,10
12955,10:22:25,2217,73
12956,17:54:14,2394,20
12957,08:34:15,1809,35
12958,22:13:48,1584,15
12959,10:30:07,1484,57
12960,08:34:12,2078,76
12961,15:21:27,2409,49
12962,20:35:21,577,66
12963,18:21:03,1429,61
12964,14:15:34,774,66
12965,21:57:49,1019,45
12966,13:22:57,77,17
12967,15:05:05,702,36
12968,11:21:53,1499,89
12969,13:16:40,2115,92
12970,20:51:18,2559,55
12971,15:12:19,1480,42
12972,14:53:51,1850,52
12973,16:13:27,1650,83
12974,21:45:53,5,74
12975,18:55:50,1797,46
12976,06:29:01,10,72
12977,14:38:14,1019,59
12978,19:02:37,1615,50
