Commande,Maison,Heure,idMaisonReel,Weight
1,1,8,0,1.2
2,1,7,0,1.1
3,1,3,0,1.7
4,2,18,85,1.7
5,2,2,85,1.0
6,2,23,85,1.1
7,3,14,170,1.6
8,3,1,170,2.0
9,4,6,255,0.2
10,4,15,255,1.0
11,5,14,340,2.0
12,5,0,340,0.4
13,6,4,425,1.6
14,6,2,425,1.7
15,7,1,510,1.0
16,8,19,595,0.6
17,8,17,595,1.0
18,10,5,765,0.7
19,10,1,765,0.1
20,10,11,765,1.9
21,11,4,850,1.4
22,11,9,850,0.8
23,11,6,850,1.6
24,12,7,935,1.1
25,12,23,935,0.9
26,12,13,935,0.5
27,14,4,1105,1.9
28,14,7,1105,0.8
29,15,15,1190,0.2
30,15,9,1190,0.8
31,16,8,1275,1.6
32,17,17,1360,0.8
33,17,17,1360,1.0
34,19,8,1530,1.2
35,19,7,1530,0.5
36,19,0,1530,1.3
37,20,15,1615,1.9
38,20,2,1615,1.2
39,21,4,1700,0.2
40,21,0,1700,1.2
41,21,22,1700,1.1
42,23,6,1870,1.6
43,23,16,1870,1.9
44,24,16,1955,0.5
45,24,7,1955,0.5
46,24,0,1955,0.4
47,25,1,2040,0.8
48,25,20,2040,0.9
49,26,16,2125,1.7
50,27,18,2210,1.1
51,28,22,2295,1.0
52,28,16,2295,0.7
53,28,11,2295,0.7
54,29,22,2380,0.7
55,29,3,2380,0.9
56,29,0,2380,0.4
57,31,18,2550,1.9
