id,X,Y,Maison
1,2459585.730814444,3984436.983484476,0
2,2459643.2314986954,3983259.628150669,51
3,2459638.5919201034,3985186.561835652,102
4,2459862.9589195084,3984291.488366297,153
5,2460028.6537912604,3984494.122067458,204
6,2460121.3100147983,3985526.56095178,255
7,2460355.0459398613,3985192.866807429,306
8,2460511.0658784006,3984269.506369711,357
9,2460564.220664675,3985987.281547511,408
10,2460757.388572698,3984415.462136408,459
11,2460928.1952514783,3983236.109088348,510
12,2460973.943163815,3984611.552130199,561
13,2461168.480647132,3983312.0571330334,612
14,2461157.432624752,3984936.966540783,663
15,2461051.665312247,3986413.0616602832,714
16,2461276.536677628,3984153.131912504,765
17,2461388.505037813,3985137.969184059,816
18,2461334.802127551,3986438.611042477,867
19,2461526.2984552425,3983925.5871936833,918
20,2461498.103620212,3984947.17636872,969
21,2461562.293728388,3986031.55574877,1020
22,2461622.1191801312,3983297.333937244,1071
23,2461784.7740988205,3983825.807332125,1122
24,2461668.8193237525,3984565.503971992,1173
25,2461669.232685654,3985159.5711743142,1224
26,2461726.2493868084,3985999.974379737,1275
27,2461967.562604558,3983557.3354445896,1326
28,2461984.4838978965,3983828.4307533614,1377
29,2461988.0739164585,3984796.5084095662,1428
30,2461894.116651508,3985030.4789801394,1479
31,2461931.0401980258,3986064.735425589,1530
32,2462051.8416095823,3983607.8732617535,1581
33,2462194.2324386016,3984212.976989607,1632
34,2462038.957552887,3986013.573830384,1683
35,2462276.0835776315,3983975.225005619,1734
36,2462210.937476137,3984573.3437827295,1785
37,2462276.975862014,3986027.649796008,1836
38,2462492.7049816754,3983645.405548717,1887
39,2462550.773016912,3984275.545009402,1938
40,2462401.067399955,3985123.181150204,1989
41,2462628.207326302,3983494.408498326,2040
42,2462760.757456374,3984434.4127766425,2091
43,2462617.642653605,3985432.1693905713,2142
44,2462934.912091653,3983460.090373852,2193
45,2462893.2176775057,3984476.4748415146,2244
46,2462990.4654446016,3985372.3063307423,2295
47,2463159.0941446656,3983981.915576813,2346
48,2463063.15520533,3985370.971663536,2397
49,2463323.753061686,3985458.606668055,2448
50,2463565.6699589244,3985917.8248839015,2499
51,2463892.648793174,3983424.7254345017,2550
